Name,Address,City,Zipcode,Statea
"San Bernardino Police Dept","1584 W Base Line St # 106","San Bernardino","92411-1746","CA"
"San Luis Obispo Sheriff","1585 Kansas Ave","San Luis Obispo","93401-0000","CA"
"Alameda Animal Shelter-Pound","1590 Fortman Way","Alameda","94501-1280","CA"
"San Jacinto Police Dept","160 W 6th St","San Jacinto","92583-4109","CA"
"Hillsborough Police Dept","1600 Floribunda Ave","Hillsborough","94010-6418","CA"
"Montebello Police Dept","1600 W Beverly Blvd","Montebello","90640-3932","CA"
"Bakersfield Police Dept","1601 Truxtun Ave","Bakersfield","93301-5109","CA"
"Humboldt Cnty Sheriff CPU","1608 Pickett Rd","Mc Kinleyville","95519-3920","CA"
"Tulare County Sheriff Station","161 N Pine St","Pixley","93256-9628","CA"
"Kern County Sheriff's Office","181 E 1st St","Buttonwillow","93206-0000","CA"
"Oxnard Police Dept","181 W Gonzales Rd","Oxnard","93030-2959","CA"
"San Marcos Sheriff Dept","182 Santar Pl","San Marcos","92069-6450","CA"
"San Bernardino Sheriff's Dept","14455 Civic Dr","Victorville","92392-2312","CA"
"Livingston Police Detective","1446 C St","Livingston","95334-1417","CA"
"Southeast Los Angeles Police","145 W 108th St","Los Angeles","90061-2001","CA"
"San Bernardino Sheriff","1455 Civic Dr","Victorville","92392-0000","CA"
"San Diego County Sheriff","1477 Moon Rd","Vista","92083-5536","CA"
"Alpine County Sheriff","14777 Highway 89","Markleeville","96120-0000","CA"
"St Helena Police Dept","1480 Main St","St Helena","94574-1854","CA"
"San Diego Cnty Sheriff's Dept","1485 Hollow Glen Rd","Julian","92036-0000","CA"
"Sutter Creek Police Dept","18 Main St","Sutter Creek","95685-4175","CA"
"El Centro Police Dept","150 N 11th St","El Centro","92243-2836","CA"
"La Habra Police Dept","150 N Euclid St","La Habra","90631-4699","CA"
"La Habra Police Dept","150 N Hudson Ave","City Of Industry","91744-4430","CA"
"Los Angeles Police Dept","150 N Los Angeles St # 140","Los Angeles","90012-3302","CA"
"Los Angeles Police-Forgery Div","150 N Los Angeles St # 302","Los Angeles","90012-3302","CA"
"Police Commissioners Board","150 N Los Angeles St","Los Angeles","90012-3302","CA"
"Glendora City Police","150 S Glendora Ave","Glendora","91741-3416","CA"
"San Bernardino Sheriff's Dept","14900 Apple Valley Inn Rd","Apple Valley","92307-3011","CA"
"Apple Valley Police","14900 Aztec Rd","Apple Valley","92307-3011","CA"
"Upland Police Dept","1499 W 13th St","Upland","91786-2992","CA"
"Sheriff Substation","15001 Paramount Blvd # C","Paramount","90723-3442","CA"
"Kern County Sheriff Property","1501 L St","Bakersfield","93301-4510","CA"
"Police Dept Property Room","151 W Mission St","San Jose","95110-1710","CA"
"San Diego Polce Comm Relations","1515 Palm Ave # C","San Diego","92154-1011","CA"
"Redding Police Investigations","1516 Market St","Redding","96001-1023","CA"
"Shasta County Sheriff","1525 Court St","Redding","96001-1632","CA"
"Lawndale Sheriff Svc Ctr","15331 Prairie Ave","Lawndale","90260-2222","CA"
"Napa City Police Detectives","1539 1st St","Napa","94559-2840","CA"
"Siskiyou County Sheriff Hrnbrk","15434 Hornbrook Rd","Hornbrook","96044-0000","CA"
"County Sheriff","1545 Kansas Ave","San Luis Obispo","93401-0000","CA"
"Yuba City Police Dept","1545 Poole Blvd","Yuba City","95993-2615","CA"
